 #calculated the component:  2  2  of dielectric function
 #broadening:    0.000000E+00    2.000000E-03
 #scissors shift:    0.000000E+00
 #energy window:    1.554642E+02eV    5.713204E+00Ha

 # Energy(eV)         Im(eps(w))
    2.721138E-04    3.752751E+01
    5.442277E-04    7.505276E+01
    8.163415E-04    1.125735E+02
    1.088455E-03    1.500874E+02
    1.360569E-03    1.875922E+02
    1.632683E-03    2.250856E+02
    1.904797E-03    2.625654E+02
    2.176911E-03    3.000293E+02
    2.449025E-03    3.374749E+02
    2.721138E-03    3.749001E+02
    2.993252E-03    4.123024E+02
    3.265366E-03    4.496796E+02
    3.537480E-03    4.870293E+02
    3.809594E-03    5.243493E+02
    4.081708E-03    5.616371E+02
    4.353821E-03    5.988905E+02
    4.625935E-03    6.361071E+02
    4.898049E-03    6.732845E+02
    5.170163E-03    7.104203E+02
    5.442277E-03    7.475122E+02
    5.714391E-03    7.845577E+02
    5.986504E-03    8.215545E+02
    6.258618E-03    8.585000E+02
    6.530732E-03    8.953918E+02
    6.802846E-03    9.322275E+02
    7.074960E-03    9.690046E+02
    7.347074E-03    1.005721E+03
    7.619187E-03    1.042373E+03
    7.891301E-03    1.078959E+03
    8.163415E-03    1.115477E+03
    8.435529E-03    1.151923E+03
    8.707643E-03    1.188295E+03
    8.979757E-03    1.224591E+03
    9.251870E-03    1.260808E+03
    9.523984E-03    1.296943E+03
    9.796098E-03    1.332994E+03
    1.006821E-02    1.368957E+03
    1.034033E-02    1.404831E+03
    1.061244E-02    1.440612E+03
    1.088455E-02    1.476298E+03
    1.115667E-02    1.511886E+03
    1.142878E-02    1.547373E+03
    1.170090E-02    1.582756E+03
    1.197301E-02    1.618033E+03
    1.224512E-02    1.653201E+03
    1.251724E-02    1.688257E+03
    1.278935E-02    1.723197E+03
    1.306146E-02    1.758019E+03
    1.333358E-02    1.792721E+03
    1.360569E-02    1.827298E+03
    1.387781E-02    1.861749E+03
    1.414992E-02    1.896070E+03
    1.442203E-02    1.930257E+03
    1.469415E-02    1.964309E+03
    1.496626E-02    1.998222E+03
    1.523837E-02    2.031993E+03
    1.551049E-02    2.065619E+03
    1.578260E-02    2.099096E+03
    1.605472E-02    2.132422E+03
    1.632683E-02    2.165593E+03
    1.659894E-02    2.198607E+03
    1.687106E-02    2.231460E+03
    1.714317E-02    2.264148E+03
    1.741529E-02    2.296670E+03
    1.768740E-02    2.329020E+03
    1.795951E-02    2.361197E+03
    1.823163E-02    2.393197E+03
    1.850374E-02    2.425017E+03
    1.877585E-02    2.456653E+03
    1.904797E-02    2.488102E+03
    1.932008E-02    2.519361E+03
    1.959220E-02    2.550427E+03
    1.986431E-02    2.581296E+03
    2.013642E-02    2.611964E+03
    2.040854E-02    2.642430E+03
    2.068065E-02    2.672689E+03
    2.095277E-02    2.702737E+03
    2.122488E-02    2.732573E+03
    2.149699E-02    2.762192E+03
    2.176911E-02    2.791590E+03
    2.204122E-02    2.820766E+03
    2.231333E-02    2.849715E+03
    2.258545E-02    2.878434E+03
    2.285756E-02    2.906920E+03
    2.312968E-02    2.935170E+03
    2.340179E-02    2.963179E+03
    2.367390E-02    2.990946E+03
    2.394602E-02    3.018466E+03
    2.421813E-02    3.045737E+03
    2.449025E-02    3.072756E+03
    2.476236E-02    3.099518E+03
    2.503447E-02    3.126022E+03
    2.530659E-02    3.152263E+03
    2.557870E-02    3.178238E+03
    2.585081E-02    3.203946E+03
    2.612293E-02    3.229381E+03
    2.639504E-02    3.254542E+03
    2.666716E-02    3.279426E+03
    2.693927E-02    3.304029E+03
    2.721138E-02    3.328348E+03
    2.748350E-02    3.352381E+03
    2.775561E-02    3.376124E+03
    2.802773E-02    3.399575E+03
