 #calculated the component:  2  2  of dielectric function
 #broadening:    0.000000E+00    2.000000E-03
 #scissors shift:    0.000000E+00
 #energy window:    7.288437E+01eV    2.678451E+00Ha

 # Energy(eV)         Im(eps(w))
    2.721138E-04    1.588161E+00
    5.442277E-04    3.176381E+00
    8.163415E-04    4.764719E+00
    1.088455E-03    6.353233E+00
    1.360569E-03    7.941984E+00
    1.632683E-03    9.531030E+00
    1.904797E-03    1.112043E+01
    2.176911E-03    1.271024E+01
    2.449025E-03    1.430053E+01
    2.721138E-03    1.589134E+01
    2.993252E-03    1.748275E+01
    3.265366E-03    1.907481E+01
    3.537480E-03    2.066757E+01
    3.809594E-03    2.226110E+01
    4.081708E-03    2.385545E+01
    4.353821E-03    2.545069E+01
    4.625935E-03    2.704688E+01
    4.898049E-03    2.864406E+01
    5.170163E-03    3.024231E+01
    5.442277E-03    3.184168E+01
    5.714391E-03    3.344222E+01
    5.986504E-03    3.504401E+01
    6.258618E-03    3.664709E+01
    6.530732E-03    3.825152E+01
    6.802846E-03    3.985737E+01
    7.074960E-03    4.146469E+01
    7.347074E-03    4.307355E+01
    7.619187E-03    4.468399E+01
    7.891301E-03    4.629608E+01
    8.163415E-03    4.790987E+01
    8.435529E-03    4.952544E+01
    8.707643E-03    5.114282E+01
    8.979757E-03    5.276209E+01
    9.251870E-03    5.438330E+01
    9.523984E-03    5.600651E+01
    9.796098E-03    5.763177E+01
    1.006821E-02    5.925915E+01
    1.034033E-02    6.088870E+01
    1.061244E-02    6.252048E+01
    1.088455E-02    6.415456E+01
    1.115667E-02    6.579098E+01
    1.142878E-02    6.742980E+01
    1.170090E-02    6.907109E+01
    1.197301E-02    7.071490E+01
    1.224512E-02    7.236128E+01
    1.251724E-02    7.401031E+01
    1.278935E-02    7.566202E+01
    1.306146E-02    7.731649E+01
    1.333358E-02    7.897376E+01
    1.360569E-02    8.063390E+01
    1.387781E-02    8.229697E+01
    1.414992E-02    8.396301E+01
    1.442203E-02    8.563209E+01
    1.469415E-02    8.730426E+01
    1.496626E-02    8.897958E+01
    1.523837E-02    9.065810E+01
    1.551049E-02    9.233989E+01
    1.578260E-02    9.402500E+01
    1.605472E-02    9.571348E+01
    1.632683E-02    9.740539E+01
    1.659894E-02    9.910079E+01
    1.687106E-02    1.007997E+02
    1.714317E-02    1.025023E+02
    1.741529E-02    1.042085E+02
    1.768740E-02    1.059184E+02
    1.795951E-02    1.076320E+02
    1.823163E-02    1.093495E+02
    1.850374E-02    1.110709E+02
    1.877585E-02    1.127961E+02
    1.904797E-02    1.145254E+02
